노선명,시점부,시점위도,시점경도,종점부,종점위도,종점경도,구간길이,기점 방향 제한속도(kph),종점 방향 제한속도(kph)
경부선,구서IC,35.2354,128.8291,언양JCT,35.2375,128.8916,39.51,100,100
경부선,언양JCT,35.2375,128.8916,영천IC,35.2901,128.8198,56.28,100,100
경부선,영천IC,35.2901,128.8198,옥천휴게소 부근,35.3279,128.8994,157.7,100,100
경부선,옥천휴게소 부근,35.3279,128.8994,옥천IC 인근,35.3689,128.9173,3.5,100,100
경부선,옥천IC 인근,35.3689,128.9173,천안IC,35.5092,127.2203,75.8,100,100
경부선,천안IC,35.5092,127.2203,동탄JCT,37.2023,127.1339,42,110,110

경부선,동탄JCT,37.2019,127.1034,기흥동탄IC,37.2372,127.1086,2.3,80,80
경부선,기흥동탄IC,37.2372,127.1086,양재IC,37.4839,127.0364,32,110,110
남해선(영암~순천),서영암IC,34.7846,126.3871,도롱IC,34.8694,126.5297,104.56,100,100
남해선(순천~부산),서순천IC,34.9333,127.5429,덕천IC,35.2104,129.0081,169.25,100,100
무안광주?광주대구선,북무안IC,34.9875,126.4611,무안공항IC,34.9919,126.3816,3.9,80,80
무안광주?광주대구선,무안공항IC,34.9919,126.3816,운수IC,35.0631,127.0322,41.35,100,100
무안광주?광주대구선,고서JCT,35.1864,127.2482,옥포JCT,35.7925,128.5408,171.529,100,100
함양울산선,밀양JCT,35.4589,128.7663,울주JCT,35.4872,129.1539,44.3,100,100
서해안선,죽림IC,35.9865,126.7167,매송IC,37.2386,126.8957,313.01,110,110

서해안선,매송IC,37.0002,126.9002,금천IC,37.4567,126.8954,22.99,100,100
울산선,언양JCT,35.5654,129.1385,울산TG,35.5833,129.1500,12.7,100,100
울산선,울산TG,35.5833,129.1500,울산IC,35.6000,129.1600,1.6,80,80
평택화성수원문산선(평택~화성),오성IC,36.9900,126.9500,봉담IC,37.2500,126.9800,26.7,100,100
평택화성수원문산선(수원~광명),봉담IC,37.2500,126.9800,남광명TG,37.4000,126.9900,22.8,100,100
평택화성수원문산선(수원~광명),남광명TG,37.4000,126.9900,성채소하IC,37.4500,127.0000,4.58,80,80
익산포항선(익산~장수),익산JCT,35.9400,126.9500,장수JCT,35.6500,127.5200,60.98,100,100
익산포항선(대구~포항),팔공산IC,35.9000,128.7000,포항IC,36.0200,129.3400,69.08,100,100

호남선,서순천IC,35.031319,126.750814,논산JCT,36.158025,127.086719,194.22,100,100
논산천안선,논산JCT,36.158025,127.086719,천안JCT,36.818743,127.167345,82.04,110,110
순천완주선,동순천IC,34.951456,127.494049,완주JCT,35.275694,127.336456,117.27,100,100
세종포천선(구리~포천),남구리IC,37.586197,127.126268,신북IC,37.769684,127.247525,44.6,100,100
세종포천선(양주지선),양주지선,37.837062,127.106277,,37.869434,127.039592,6,100,100
당진영덕선(당진~대전),당진JCT,36.773276,126.669828,유성JCT,36.369781,127.263559,91.58,110,110
당진영덕선(청주~상주),청주JCT,36.651751,127.489703,낙동JCT,36.551364,128.056944,79.42,110,110
당진영덕선(상주~영덕),낙동JCT,36.551364,128.056944,영덕IC,38.481634,129.121543,107.9,100,100
옥산오창선,옥산JCT,36.589611,127.367845,오창JCT,36.678156,127.398847,12.1,100,100

통영대전선,통영IC,34.848936,128.413815,비룡JCT,35.100271,127.865479,215.25,100,100
중부선,남이JCT,37.517694,127.208197,하남JCT,37.543564,127.215445,117.23,110,110
제2중부선,마장JCT,37.414574,127.425238,산곡JCT,37.382371,127.445024,31.08,110,110
평택제천선,서평택JCT,37.033126,127.113662,제천JCT,37.272169,128.211226,126.91,100,100
중부내륙선,내서JCT,35.257879,128.538169,낙동JCT,35.594125,128.104947,139.2,100,100
중부내륙선,낙동JCT,35.594125,128.104947,북여주IC,37.351126,127.577254,143.7,110,110
중부내륙선,북여주IC,37.351126,127.577254,양평IC,37.494479,127.566232,18.51,100,100
영동선,서창JCT,37.705178,128.892833,오원4교,37.656842,128.784373,146.29,100,100
영동선,오원4교,37.656842,128.784373,횡성휴게소 인근,37.396764,128.166169,7,80,100

영동선,횡성휴게소 인근,37.396764,128.166169,강릉JCT,37.763479,128.876522,82.6,100,100
제2영동선(광주원주선),광주JCT,35.163261,126.932066,원주JCT,37.341513,127.933083,56.95,100,100
중앙선,삼락IC,35.522942,128.716558,대동JCT,35.535632,128.678921,10,100,100
중앙선,대동JCT,35.535632,128.678921,동대구JCT,35.872457,128.604406,82.05,110,110
중앙선,금호JCT,35.759407,128.744157,신림IC,35.778621,128.702514,185.72,100,100
중앙선,신림IC,35.778621,128.702514,치악휴게소(춘천)인근,37.315819,127.924724,5.2,100,100
중앙선,치악휴게소(춘천)인근,37.315819,127.924724,금대2교,37.368261,127.955118,5.7,100,100
중앙선,금대2교,37.368261,127.955118,춘천휴게소(춘천)인근,37.368743,127.984633,75.8,100,100
중앙선,춘천휴게소(춘천)인근,37.368743,127.984633,춘천IC,37.373221,127.994932,5.08,100,80

서울양양선,강일IC,37.529945,127.145234,미사IC,37.542628,127.150491,1.92,80,80
서울양양선,미사IC,37.542628,127.150491,조양IC,37.542788,127.720188,59.4,100,100
서울양양선,조양IC,37.542788,127.720188,홍천강교,37.779712,127.746273,15.7,100,100
서울양양선,홍천강교,37.779712,127.746273,양양JCT,38.051162,128.372468,73.1,100,100
동해?울산포항선(삼척~속초),남삼척IC,38.179618,128.154707,속초IC,38.208993,128.591472,121.8,100,100
동해?울산포항선(부산~포항),동해선(부산~포항)시점,35.095523,129.027710,해운대IC,35.163905,129.163071,1.78,80,80
동해?울산포항선(부산~포항),해운대IC,35.163905,129.163071,남포항IC,35.100758,129.036512,99.05,100,100
수도권제1순환선,퇴계원IC,37.740470,127.176758,일산IC,37.676780,126.776481,91.7,100,100
수도권제1순환선,일산IC,37.676780,126.776481,퇴계원IC,37.740470,127.176758,36.3,100,100
남해제1지선,산인TG,35.144176,128.663091,창원JCT,35.274277,128.682805,17.7,100,100

남해제2지선,냉정JCT,35.091512,128.664081,서부산IC,35.149690,129.016458,18.03,100,100
남해제2지선,서부산IC,35.149690,129.016458,사상IC,35.145568,129.017219,2.19,80,80
부산신항 제2배후선,진례JCT,35.214830,128.967311,남해제3지선 종점,35.312746,128.870587,15.26,100,100
제2경인선,제2경인선 시점,37.458139,126.718738,삼막IC,37.499908,126.717019,26.6,100,100
제2경인선,공항신도시JCT,37.460558,126.454840,송도IC,37.453606,126.614360,21.4,100,100
제2경인선,석수IC,37.418875,126.896509,여수대로IC,37.348246,126.887425,21.9,100,100
경인선,경인선 시점,37.455104,126.703033,경인선 종점,37.433114,126.734025,23.89,100,100
인천국제공항선,인천국제공항선 시점,37.458410,126.460074,북로JCT,37.460193,126.690573,36.55,100,100
서천공주선,동서천IC,36.573107,126.725556,동서천JCT,36.560063,126.734081,2.18,80,80

서천공주선,동서천JCT,서천터널,3.22,100,100
서천공주선,서천터널,서공주JCT,55.96,110,110
평택시흥선,서평택JCT,군자JCT,39.37,100,100
용인서울오산화성선,서오산JCT,안녕IC,2.55,100,100
용인서울오산화성선,흥덕IC,헌릉IC,22.9,100,100
새만금포항선의지선,익산JCT,완주JCT,10.3,100,100
호남선지선,논산JCT,벌곡휴게소 인근,23.9,100,100
호남선지선,벌곡휴게소 인근,계룡IC 인근,3.3,80,80
호남선지선,계룡IC 인근,회덕JCT,26.72,100,100
고창담양선,고창JCT,대덕JCT,42.3,100,100

대전남부순환선,서대전JCT,산내JCT,13.28,100,100
상주영천선,낙동JCT,영천JCT,94,100,100
수도권제2순환선(봉담~동탄),동탄JCT,서오산JCT,9.26,100,100
수도권제2순환선(인천~김포),인천시점,서김포통진IC,28.9,100,100
중부내륙선지선,현풍JCT,금호JCT,30,100,100
중앙선지선,김해JCT,양산JCT,17.42,100,100
부산외곽순환선,진영JCT,기장JCT,48.8,100,100
수도권제2순환선(이천~오산),곤지암JCT,동탄JCT,31.3,100,100
광주외곽순환선,남광산IC,남장성JCT,9.7,100,100
대구외곽순환선,달서IC,동명동호JCT,20.3,80,80
대구외곽순환선,서변IC,상매JCT,12.1,80,80